t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,mujoco_fluid_fx,mujoco_fluid_fy,mujoco_fluid_fz,mujoco_fluid_tx,mujoco_fluid_ty,mujoco_fluid_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
98.365382089,0.24742988205,0.0106552098607,0.0193936999156,0.006298056972,0.018699683729,0.0910538635381,-0.0197193112577,0.0771861529692,-0.0491258324381,-0.0194232314626,-0.121317626338,-0.190075970346,22.5974400474,-1.00404101506,-21.9803608665,0.329391744928,-3.78354022782,0.635844606857,-5.2030838053,-0.494259833571,-0.550026424209,-0.0478059755121,-0.0868328974046,-0.412202942671,-22.9023545654,2.19755017565,21.2207410542,-0.338586236545,3.73862480302,-0.776372713709
98.415382089,0.246254810867,0.0147123518074,0.0169284352288,0.00526618425927,0.012497234879,0.0811675700021,-0.0229663570389,0.0773080394039,-0.0477841076307,-0.0269048557951,-0.127079491894,-0.275318900651,22.361420089,-1.03645018459,-21.8700587794,0.252666621124,-3.81586662253,0.41580665004,-5.25512660373,-0.589463985777,-0.480346904632,-0.0452140737178,-0.0621303779989,-0.400002955949,-22.716542821,2.23184404303,21.1311857045,-0.265402734141,3.76881798225,-0.619357071583
98.465382089,0.245133246346,0.0183860138011,0.0146152891525,0.0036075713925,0.00599173453959,0.0635219734729,-0.0173937399588,0.0606609065669,-0.0431919910439,-0.0298586479423,-0.130918442085,-0.431446139656,22.0800362401,-1.10733006964,-21.5128828414,0.149358229212,-3.85530781934,0.146814445624,-5.32420961712,-0.665488653721,-0.414434127764,-0.0401731670738,-0.0385969508023,-0.362098199009,-22.3489910614,2.04531369614,20.8450164561,-0.163492596541,3.80683788452,-0.465793794272
98.515382089,0.244515436871,0.0207784424641,0.0126092361244,0.00228031946504,-0.000594609329498,0.0380229560364,-0.00739856649605,0.0451081018137,-0.0372971152075,-0.0224205972563,-0.125144381145,-0.564220601462,21.9816717892,-1.28295643292,-21.1995823306,0.160207331564,-3.77359143267,-0.214886864891,-5.39203729283,-0.698456578629,-0.35550356861,-0.0348143637187,-0.0206118209319,-0.304810755905,-22.096073875,1.9804511345,20.6228668583,-0.170820704211,3.72725922844,-0.202256095506
98.565382089,0.244393389696,0.0228968239825,0.0108855776318,0.00136551166687,-0.00652270357487,0.00709991332668,-0.00956232204409,0.0568646867205,-0.0311403682093,-0.00768673593321,-0.106420918746,-0.679727260691,21.8584413052,-1.49439555773,-20.8476751303,0.173367242733,-3.65143983655,-0.641278278094,-5.50112935066,-0.722316013946,-0.304139662224,-0.0311264382132,-0.00955468854697,-0.262914065375,-22.0063009733,2.37367923627,20.3661598158,-0.177005959042,3.61203961981,0.138738241357
98.615382089,0.243559204667,0.0264649111361,0.00949519930345,0.00151164587172,-0.0112367012041,-0.0299497700327,-0.0269947079064,0.0769812620908,-0.0241735853023,0.00534631304276,-0.0885398588978,-0.778710062978,21.7257412103,-1.70520424493,-20.5147476899,0.179447946584,-3.5265502335,-1.12588830258,-5.69388264844,-0.788907858835,-0.260372031581,-0.032394547487,0.00691979762301,-0.236939682942,-22.143153271,2.89554523182,20.1409579052,-0.176917130301,3.49377012154,0.550167706559
98.665382089,0.241693918906,0.0305949501916,0.00846821910154,0.00190014297115,-0.0153766894646,-0.0707710929711,-0.0360313050494,0.0669840223118,-0.0190500538097,0.0136942985872,-0.074162768925,-0.850274720763,21.8346898839,-1.8037643546,-20.1678304651,0.16263993799,-3.42600620031,-1.63860179214,-5.9127094568,-0.873497089402,-0.223903208141,-0.0360267207319,0.0310912241692,-0.156506541652,-22.391832467,2.83952065501,19.8732644988,-0.156157385702,3.39854891838,1.00997158394
98.715382089,0.239956074162,0.0331633133673,0.00759019392248,0.00288107573043,-0.0186529780966,-0.114977242109,-0.0315470374559,0.035242609965,-0.0163058716397,0.0233417558607,-0.0634478011906,-0.910230765164,21.8640680912,-1.88738381526,-19.8427802769,0.141241441087,-3.31892000576,-2.12955184019,-6.10118752752,-0.909391554923,-0.188831262859,-0.0408180487126,0.0592304962346,0.0127441979195,-22.3518716252,2.43233101393,19.590646877,-0.130192014065,3.29542972632,1.45659456951
98.765382089,0.23853921516,0.0341192111881,0.00683763193758,0.00423431855722,-0.0217214695837,-0.161794169488,-0.0149291018107,0.00935656331418,-0.0117102109088,0.0376557041872,-0.0543170810249,-0.952221894503,21.8981608845,-2.11837989845,-19.4530980888,0.124632583488,-3.22187909435,-2.60873847353,-6.26885511028,-0.892558630307,-0.154380149828,-0.0475349601088,0.0916298369905,0.279398984868,-22.129005655,2.26305797343,19.2720261807,-0.106807276863,3.20176928144,1.90473606916
98.815382089,0.238463163981,0.0340989696987,0.00641917283159,0.00664664614915,-0.0240846861991,-0.210199431559,0.0114926253572,-0.0100456857895,-0.00476305193404,0.0563260533605,-0.043755812519,-0.985752613608,21.9919821682,-2.40555540288,-18.9755127905,0.128138723913,-3.1408857151,-3.0713458444,-6.49224410861,-0.847483210557,-0.126157645806,-0.0612988110443,0.125847599886,0.63928867231,-21.8142747283,2.2502216085,18.9018629726,-0.101475322077,3.12468600063,2.34255330759
