t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
77.115382089,-0.00660737250145,0.020736806525,-0.00650602827252,0.0013442630905,0.000305942858016,0.00476472647974,0.00440531213246,0.0158961295044,0.00368630318757,0.00794987667447,-0.000687750314775,0.00421147915488,0,0,-24.7914400842,0.895934022829,0.08525584384,0,0.0681181816051,0.245797665146,24.8484404198,-0.892170742008,-0.0855104696391,0.00311365603766
77.165382089,-0.00645916823048,0.021410996072,-0.00620038337817,0.00184366592838,0.000221212304179,0.00500683914755,0.00202632549949,0.0105212803471,0.00833633537251,0.00936831497673,-0.00122863037747,0.00603116325337,0,0,-25.1540683807,0.867776455273,0.0859288532569,0,0.0313325376761,0.162687787801,25.2829709397,-0.863341719802,-0.0863837290816,0.00445899580346
77.215382089,-0.0064047399515,0.0217889345597,-0.00567239473526,0.00228109458817,0.000183079820269,0.00536784280507,-3.11265046083e-05,0.00451387021535,0.0121743975166,0.00648635755612,-0.00151724619305,0.00800296729256,0,0,-25.5234850526,0.839597176034,0.0864728478426,0,-0.000481300945288,0.0697967866579,25.7117345559,-0.836526690039,-0.0870345779006,0.00591680179654
77.265382089,-0.00646228088094,0.0218623830935,-0.00498294362651,0.002492301684,6.9487684874e-05,0.0058071358768,-0.00167716915736,-0.00126762952318,0.0144133968754,0.00631437329569,-0.00203584886765,0.0102611623163,0,0,-25.9011315144,0.809937241585,0.0901349375599,0,-0.0259336250891,-0.0196010215557,26.1240020753,-0.806948168812,-0.0908886698861,0.00758634409064
77.315382089,-0.00657245686724,0.0216621716074,-0.00423105504773,0.00291253191774,-2.05050664962e-05,0.0063939590367,-0.0027883288714,-0.00673625481837,0.0154593819851,0.00472499623245,-0.000363347164496,0.0124064323404,0,0,-26.2940502494,0.776823374358,0.0986018441116,0,-0.0431151951838,-0.10416093463,26.5330946027,-0.774586674542,-0.0987363661323,0.0091723979965
77.365382089,-0.00674111376808,0.0211887576117,-0.003437005428,0.00296480130724,3.31529684244e-05,0.00704777911084,-0.00432302401191,-0.0121338515055,0.0149258815464,0.000933324409811,0.0013263321617,0.0138973979836,0,0,-26.6871344181,0.743707639022,0.107068277256,0,-0.0668457820631,-0.18762255104,26.9179293945,-0.743265825646,-0.1065772293,0.0102747076616
77.415382089,-0.00700475926843,0.0204487864568,-0.00273846689309,0.00300586435872,0.000112128149674,0.00778369883506,-0.00619639155983,-0.0174111106265,0.0129980236137,-0.00145826297967,0.00134257676004,0.0141397925855,0,0,-27.0802659844,0.710591368463,0.115534574768,0,-0.0958131712073,-0.269223419349,27.2812510012,-0.711281675159,-0.115037512574,0.0104539162931
77.465382089,-0.00736075292406,0.019447646549,-0.00213720306663,0.00281897500927,0.000167410644428,0.0084617583694,-0.00713988889283,-0.020868572843,0.010339125595,-0.00452712008005,0.00136853521814,0.0133991365311,0,0,-27.3786697916,0.688612768436,0.123053596632,0,-0.110402222049,-0.322685247269,27.5385409684,-0.690755798431,-0.122546923839,0.00990633001497
77.515382089,-0.00771874815771,0.0183619291725,-0.0017045543336,0.00255315235072,0.000248981671488,0.00912361248816,-0.00718504322229,-0.0225430018684,0.00697917108878,-0.00604618765861,0.00114570133533,0.0129363444669,0,0,-27.3425770873,0.710027504389,0.123992235455,0,-0.111100431556,-0.348576502418,27.4504941723,-0.712889624518,-0.123568062449,0.00956417580934
77.565382089,-0.00807925724629,0.0171933463622,-0.00143928595775,0.00221435624341,0.000281980777961,0.00975539281609,-0.00721450226159,-0.0234752072007,0.0038967631295,-0.0102198971487,0.00111176424665,0.0119175072431,0,0,-27.2146042544,0.743759419622,0.123074632274,0,-0.111555948925,-0.362990948027,27.2748588767,-0.748597273654,-0.122663023797,0.00881092296003
77.615382089,-0.00844019838387,0.0160144084525,-0.00131487802065,0.00153116263585,0.000360158096153,0.0103153632125,-0.00712208534914,-0.0236108150212,0.000998383295401,-0.0102904931687,0.00080095452566,0.00961368462543,0,0,-27.04961748,0.783528103185,0.121446880062,0,-0.11012693054,-0.36508781605,27.065055218,-0.788399375679,-0.121150342667,0.00710764699938
77.665382089,-0.00879146578121,0.0148322648601,-0.00133944762821,0.00118530692654,0.000362076230527,0.0107167612786,-0.00772502010634,-0.0232997673075,-0.00194387638565,-0.0100651012635,0.00114918257974,0.00761323087566,0,0,-26.8693802468,0.826116251466,0.11953816624,0,-0.119449951941,-0.36027816715,26.839322598,-0.830880828842,-0.119112704374,0.00562865953038
77.715382089,-0.0092127003945,0.0136844317217,-0.00150926565921,0.000524652509505,0.000475076354127,0.0110766863,-0.00977159250263,-0.0222358628232,-0.00479904754795,-0.0130271547737,0.000222293780806,0.0067509009525,0,0,-26.6827546332,0.869985859212,0.11751527399,0,-0.151095562051,-0.343827292231,26.6085482246,-0.87615260163,-0.117432974164,0.0049911165976
77.765382089,-0.00976862503147,0.0126086785778,-0.001819352383,-0.000117408550836,0.000384305608608,0.0113918513739,-0.0121519589949,-0.0203351847041,-0.00682531430484,-0.00940687121002,-0.000212515503501,0.00533257697491,0,0,-26.4934212423,0.914428467069,0.115445031118,0,-0.187902542381,-0.314437606916,26.3878832043,-0.918881454135,-0.115523710732,0.00394251280455
77.815382089,-0.010427896294,0.0116509132513,-0.0021917970897,-0.000416034611497,0.000453824803776,0.0116099439975,-0.0139972577523,-0.0175446784161,-0.00743965869693,-0.00682424069172,0.00140598862182,0.00459204488307,0,0,-26.2954328153,0.960883713034,0.114622004753,0,-0.216435911208,-0.271288742912,26.1803953317,-0.964114144795,-0.114101465585,0.00339501817522
77.865382089,-0.0111683508067,0.0108542107361,-0.0025633182527,-0.000799832620008,0.00052490447079,0.0118510558622,-0.0156212939869,-0.0145608625571,-0.00731909104964,-0.00425716534236,0.00110322411435,0.00372395509181,0,0,-26.1068765379,1.00512106736,0.11671066535,0,-0.241547955902,-0.225150783911,25.9937033601,-1.00713630726,-0.116302218686,0.00275321682221
77.915382089,-0.0119900256927,0.0101948269956,-0.00292370619466,-0.000841751145734,0.000564147215211,0.0119823395067,-0.0172374109993,-0.0121675292622,-0.00666002994328,6.59932646382e-05,0.00126094468035,0.0022966752423,0,0,-25.9276234193,1.04717443682,0.120236918114,0,-0.266537547748,-0.188143301325,25.8246411298,-1.04714319719,-0.119770078565,0.00169799172019
77.965382089,-0.0128920919066,0.00963745780992,-0.00322932124702,-0.000793233293544,0.000650998938825,0.0120807233864,-0.0187765713071,-0.00989476775607,-0.00556888877164,0.00166237223161,0.00231918688101,0.00231572432133,0,0,-25.7525758663,1.08406273108,0.12348987156,0,-0.290337178334,-0.153000188564,25.6664656055,-1.08327580396,-0.122631239001,0.00171207519959
78.015382089,-0.0138676828234,0.00920535021998,-0.00348059507183,-0.000675513922572,0.000796065903312,0.0122139119388,-0.0204736112456,-0.0076021277559,-0.00412561704577,0.00680059139806,0.00254480735623,0.00161369463686,0,0,-25.5993646013,1.09401625991,0.125382477303,0,-0.316578060079,-0.117549699883,25.5355712712,-1.09079702315,-0.124440313275,0.00119304640109
78.065382089,-0.0149394530312,0.00887724503433,-0.0036418829516,-0.000113174153738,0.000905479674448,0.0122420928501,-0.0218484022657,-0.00563457484898,-0.002364769063,0.00908362479837,0.00221379938902,0.00167139346861,0,0,-25.4461453575,1.09003765896,0.128289038771,0,-0.337836091647,-0.0871259473312,25.4095795561,-1.08573768899,-0.127469423823,0.00123570464758
78.115382089,-0.01605252305,0.00864189273508,-0.00371707197813,0.000232848557265,0.00101744584221,0.0123810512857,-0.0214694894456,-0.00454638681544,-0.00111584014276,0.00804847927841,0.000988086339622,0.00278834089582,0,0,-25.2959563494,1.08071527946,0.131123567696,0,-0.331977062476,-0.0702995822837,25.2787024071,-1.07690532253,-0.130757748491,0.00206149292114
78.165382089,-0.0170864019757,0.00842260635279,-0.00375346696588,0.000691673774103,0.00100428830841,0.0125209269397,-0.0198856675857,-0.00422506847636,-0.000339959367245,0.00933703173386,0.00108198104342,0.0035429099934,0,0,-25.1470842765,1.06907050337,0.133926791407,0,-0.307486842069,-0.0653311214082,25.1418275743,-1.06465057663,-0.133526209565,0.00261936547378
78.215382089,-0.0180410898085,0.00821938588745,-0.00375106791485,0.00116655173065,0.00112564394656,0.012735342285,-0.0177379247578,-0.00368662319828,0.000538758014936,0.00753932773086,0.000206151903799,0.00419505147035,0,0,-24.9987845412,1.05641641788,0.136716409928,0,-0.274276860213,-0.0570052838434,25.0071152145,-1.05284748108,-0.136640086309,0.00310151062337
78.265382089,-0.0188601944515,0.00805394403296,-0.00369959116438,0.00144560654719,0.00102490349879,0.0129404320867,-0.0153027126189,-0.00329503369991,0.001536906333,0.00534876880595,-0.00143592979515,0.00434202211597,0,0,-24.8507335427,1.04332368834,0.139500115658,0,-0.236621816089,-0.0509502385339,24.8744983207,-1.04079170956,-0.140031739946,0.00321016984291
78.315382089,-0.0195713610704,0.00788988251746,-0.00359737728155,0.00170142861125,0.000982050967041,0.0131695444966,-0.0132805704163,-0.00367615417592,0.0022774337551,0.00535975493245,-0.0017174775721,0.00420945395298,0,0,-24.7027906449,1.03004032488,0.1422812517,0,-0.205353963632,-0.0568434041072,24.7380060035,-1.02750314553,-0.142917113421,0.00311215875324
